Subdivision,Year,Month,Rainfall_mm
Andaman & Nicobar Islands,1928,1,50.900
Andaman & Nicobar Islands,1928,2,67.600
Andaman & Nicobar Islands,1928,3,80.700
Andaman & Nicobar Islands,1928,4,129.300
Andaman & Nicobar Islands,1928,5,499.500
Andaman & Nicobar Islands,1928,6,410.200
Andaman & Nicobar Islands,1928,7,406.300
Andaman & Nicobar Islands,1928,8,391.500
Andaman & Nicobar Islands,1928,9,404.800
Andaman & Nicobar Islands,1928,10,444.500
Andaman & Nicobar Islands,1928,11,99.500
Andaman & Nicobar Islands,1928,12,13.500
Andaman & Nicobar Islands,1929,1,74.200
Andaman & Nicobar Islands,1929,2,118.400
Andaman & Nicobar Islands,1929,3,129.200
Andaman & Nicobar Islands,1929,4,69.800
Andaman & Nicobar Islands,1929,5,316.600
Andaman & Nicobar Islands,1929,6,588.800
Andaman & Nicobar Islands,1929,7,134.000
Andaman & Nicobar Islands,1929,8,644.700
Andaman & Nicobar Islands,1929,9,172.900
Andaman & Nicobar Islands,1929,10,413.000
Andaman & Nicobar Islands,1929,11,251.500
Andaman & Nicobar Islands,1929,12,13.500
Andaman & Nicobar Islands,1930,1,87.400
Andaman & Nicobar Islands,1930,2,105.400
Andaman & Nicobar Islands,1930,3,131.200
Andaman & Nicobar Islands,1930,4,10.900
Andaman & Nicobar Islands,1930,5,231.500
Andaman & Nicobar Islands,1930,6,533.600
Andaman & Nicobar Islands,1930,7,317.900
Andaman & Nicobar Islands,1930,8,446.700
Andaman & Nicobar Islands,1930,9,677.200
Andaman & Nicobar Islands,1930,10,82.300
Andaman & Nicobar Islands,1930,11,249.400
Andaman & Nicobar Islands,1930,12,201.600
Andaman & Nicobar Islands,1931,1,25.300
Andaman & Nicobar Islands,1931,2,0.000
Andaman & Nicobar Islands,1931,3,2.500
Andaman & Nicobar Islands,1931,4,2.500
Andaman & Nicobar Islands,1931,5,205.400
Andaman & Nicobar Islands,1931,6,393.500
Andaman & Nicobar Islands,1931,7,289.300
Andaman & Nicobar Islands,1931,8,571.000
Andaman & Nicobar Islands,1931,9,294.400
Andaman & Nicobar Islands,1931,10,368.300
Andaman & Nicobar Islands,1931,11,22.800
Andaman & Nicobar Islands,1931,12,182.700
Andaman & Nicobar Islands,1932,1,2.800
Andaman & Nicobar Islands,1932,2,2.500
Andaman & Nicobar Islands,1932,3,10.100
Andaman & Nicobar Islands,1932,4,58.200
Andaman & Nicobar Islands,1932,5,479.700
Andaman & Nicobar Islands,1932,6,230.048
Andaman & Nicobar Islands,1932,7,347.064
Andaman & Nicobar Islands,1932,8,289.762
Andaman & Nicobar Islands,1932,9,197.312
Andaman & Nicobar Islands,1932,10,95.315
Andaman & Nicobar Islands,1932,11,39.491
Andaman & Nicobar Islands,1932,12,18.935
Andaman & Nicobar Islands,1933,1,4.500
Andaman & Nicobar Islands,1933,2,11.700
Andaman & Nicobar Islands,1933,3,8.100
Andaman & Nicobar Islands,1933,4,58.400
Andaman & Nicobar Islands,1933,5,365.400
Andaman & Nicobar Islands,1933,6,544.200
Andaman & Nicobar Islands,1933,7,376.600
Andaman & Nicobar Islands,1933,8,294.100
Andaman & Nicobar Islands,1933,9,759.000
Andaman & Nicobar Islands,1933,10,239.800
Andaman & Nicobar Islands,1933,11,268.800
Andaman & Nicobar Islands,1933,12,56.900
Andaman & Nicobar Islands,1934,1,7.300
Andaman & Nicobar Islands,1934,2,172.900
Andaman & Nicobar Islands,1934,3,6.900
Andaman & Nicobar Islands,1934,4,131.400
Andaman & Nicobar Islands,1934,5,62.000
Andaman & Nicobar Islands,1934,6,708.400
Andaman & Nicobar Islands,1934,7,323.500
